ms_subclass,ms_zoning,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,foundation,bsmt_qual,total_bsmt_sf,gr_liv_area,kitchen_qual,garage_type,garage_cars,sale_type,saleprice,total_bath
60,RL,Lvl,CulDSac,Sawyer,RRAe,1Fam,2Story,6,Gable,HdBoard,Plywood,BrkFace,3,CBlock,3,725.0,1479,3,Attchd,2.0,WD ,130500,3.0
60,RL,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,3,PConc,4,913.0,2122,3,Attchd,2.0,WD ,220000,4.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,2,CBlock,3,1057.0,1057,3,Detchd,1.0,WD ,109000,2.0
60,RL,Lvl,Inside,Timber,Norm,1Fam,2Story,5,Gable,VinylSd,VinylSd,None,2,PConc,4,384.0,1444,2,BuiltIn,2.0,WD ,174000,3.0
50,RL,Lvl,Inside,SawyerW,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,Plywood,None,2,PConc,2,676.0,1445,2,Detchd,2.0,WD ,138500,2.0
20,RL,Lvl,Corner,NAmes,PosA,1Fam,1Story,6,Gable,BrkFace,Plywood,None,3,CBlock,3,1517.0,1888,3,Attchd,2.0,WD ,190000,3.0
180,RM,Lvl,Inside,Edwards,Norm,TwnhsE,SFoyer,6,Gable,VinylSd,VinylSd,BrkFace,2,PConc,4,547.0,1072,2,Basment,2.0,New,140000,3.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Plywood,Plywood,BrkFace,2,CBlock,3,1188.0,1188,2,Attchd,2.0,COD,142000,2.0
20,RL,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,2,CBlock,3,924.0,924,2,Detchd,1.0,WD ,112500,1.0
60,RL,HLS,Inside,NAmes,Norm,1Fam,2Story,5,Gable,Plywood,Plywood,BrkFace,2,PConc,4,1040.0,2080,1,Attchd,2.0,WD ,135000,4.0
160,RM,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,Gable,HdBoard,HdBoard,BrkFace,2,CBlock,3,483.0,987,2,Detchd,1.0,COD,85400,2.0
20,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,3,PConc,4,1208.0,1208,3,Attchd,2.0,WD ,183600,2.0
160,FV,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,Gable,MetalSd,MetalSd,BrkFace,3,PConc,4,960.0,1607,3,Detchd,2.0,ConLD,200000,4.0
20,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,3,PConc,4,1351.0,1361,3,Attchd,2.0,WD ,193000,2.0
20,RL,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,2,PConc,5,1430.0,1430,3,Attchd,2.0,WD ,173500,2.0
70,RM,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,AsbShng,AsbShng,None,2,BrkTil,3,624.0,1344,2,Detchd,3.0,COD,98000,1.0
20,RL,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,2,PConc,3,1121.0,1121,2,Detchd,2.0,WD ,139000,2.0
20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,6,Gable,Plywood,Plywood,BrkFace,2,CBlock,3,660.0,1285,2,Attchd,2.0,WD ,143500,2.0
60,FV,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,2,PConc,4,756.0,1547,3,Attchd,2.0,Con,215200,3.0
20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,2,CBlock,4,894.0,894,2,Attchd,2.0,WD ,129000,1.0
120,RL,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,Gable,CemntBd,CmentBd,None,3,PConc,4,1501.0,1659,4,Attchd,2.0,WD ,278000,3.0
60,RL,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,Gable,CemntBd,CmentBd,NA,3,PConc,5,1209.0,2253,4,Attchd,2.0,New,344133,3.0
20,RL,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,Gable,HdBoard,HdBoard,None,2,PConc,4,1168.0,1187,2,Attchd,2.0,WD ,185000,3.0
190,RL,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,Hip,Wd Sdng,Wd Sdng,None,2,CBlock,3,1056.0,1056,2,Attchd,2.0,WD ,145000,2.0
20,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,MetalSd,MetalSd,BrkFace,2,CBlock,3,1453.0,1453,2,Attchd,2.0,WD ,187500,3.0
20,RL,Lvl,Inside,Sawyer,RRAe,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,2,CBlock,3,894.0,894,2,Detchd,1.0,WD ,138500,2.0
50,RL,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,Gable,WdShing,Wd Shng,None,2,CBlock,3,942.0,1938,3,Detchd,1.0,WD ,198000,2.0
190,C (all),Lvl,Inside,IDOTRR,Feedr,2fmCon,2Story,5,Gable,VinylSd,VinylSd,None,2,CBlock,3,957.0,1991,2,NA,0.0,WD ,119600,2.0
50,RL,Lvl,Corner,NAmes,Artery,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,2,CBlock,3,672.0,924,2,Detchd,2.0,WD ,122900,1.0
20,RL,Lvl,Inside,NWAmes,PosN,1Fam,1Story,8,Hip,BrkFace,BrkFace,None,3,PConc,4,2524.0,2524,3,Attchd,2.0,WD ,278000,4.0
70,RL,HLS,Corner,Crawfor,Norm,1Fam,2Story,8,Gable,BrkFace,Stucco,None,2,PConc,4,792.0,1517,3,Detchd,2.0,WD ,230000,1.0
120,RL,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,Hip,BrkFace,BrkFace,None,3,PConc,4,1494.0,1494,4,Attchd,2.0,WD ,270000,3.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,None,2,CBlock,3,948.0,948,2,Detchd,2.0,WD ,125000,1.0
20,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,Hip,VinylSd,VinylSd,Stone,3,PConc,5,1705.0,1718,3,Attchd,3.0,WD ,297000,3.0
20,RL,HLS,Inside,NAmes,Norm,1Fam,1Story,6,Flat,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,4,160.0,1142,2,Basment,1.0,WD ,113500,1.0
160,RM,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,Gable,CemntBd,CmentBd,None,2,PConc,3,757.0,1475,2,Attchd,1.0,WD ,127000,2.0
20,RL,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,Hip,Plywood,Plywood,BrkFace,2,CBlock,4,1844.0,1844,2,Attchd,2.0,COD,190000,2.0
20,RL,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,Hip,HdBoard,HdBoard,BrkFace,2,CBlock,3,1242.0,1242,2,Attchd,2.0,WD ,175500,2.0
20,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,2,PConc,4,990.0,990,2,Detchd,1.0,WD ,146000,2.0
20,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,3,CBlock,3,1256.0,1256,2,Attchd,1.0,WD ,147500,3.0
20,RL,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,Gable,VinylSd,VinylSd,NA,4,PConc,5,2076.0,2076,4,Attchd,3.0,New,465000,4.0
85,RL,Lvl,Corner,Mitchel,Norm,1Fam,SFoyer,5,Gable,Plywood,Plywood,BrkFace,2,PConc,4,1097.0,1110,3,Attchd,2.0,WD ,165500,2.0
50,RM,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,BrkFace,2,BrkTil,3,1050.0,1795,2,Attchd,1.0,WD ,131500,2.0
20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,None,2,CBlock,3,1040.0,1040,2,Detchd,1.0,WD ,129500,2.0
70,RL,HLS,Inside,Crawfor,Norm,1Fam,2Story,8,Gable,BrkFace,Stucco,Stone,2,PConc,3,608.0,1873,2,Detchd,2.0,WD ,257076,2.0
50,RL,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,Gable,Wd Sdng,Wd Sdng,None,2,CBlock,3,984.0,1604,2,Detchd,2.0,WD ,117000,2.0
70,RL,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,Gable,Stucco,Wd Shng,None,2,BrkTil,4,776.0,1502,2,Attchd,1.0,WD ,149000,2.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,Stone,2,CBlock,3,1056.0,1063,2,Attchd,1.0,WD ,128000,2.0
160,RL,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,Gable,VinylSd,Wd Shng,Stone,3,PConc,4,764.0,1626,3,BuiltIn,2.0,WD ,155000,3.0
160,FV,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,6,Gable,MetalSd,MetalSd,BrkFace,3,PConc,4,756.0,1524,3,Detchd,2.0,WD ,166000,3.0
50,RL,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,4,Gable,WdShing,Plywood,None,2,BrkTil,3,1122.0,1981,3,Detchd,2.0,WD ,135000,3.0
60,RL,Lvl,Inside,NWAmes,RRAn,1Fam,2Story,7,Gable,Plywood,Plywood,BrkFace,2,CBlock,4,1392.0,2784,3,Attchd,2.0,WD ,250000,5.0
160,RM,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,Gable,CemntBd,CmentBd,None,2,CBlock,3,546.0,1092,2,NA,0.0,WD ,76000,2.0
20,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,216.0,1575,3,Attchd,2.0,WD ,155000,2.0
60,RL,Lvl,Corner,Sawyer,Norm,1Fam,2Story,6,Gable,HdBoard,HdBoard,Stone,2,CBlock,3,663.0,1352,2,Attchd,1.0,WD ,158000,2.0
160,FV,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,Gable,MetalSd,MetalSd,None,3,PConc,4,600.0,1200,3,Detchd,2.0,WD ,149500,4.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,2,CBlock,3,936.0,936,2,Attchd,1.0,WD ,121000,1.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,None,2,CBlock,3,1040.0,1040,2,Attchd,1.0,WD ,136000,2.0
